2016-02-01 17:49:17,181 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.pl.fabricadeprogramador:fabricaweb:1 @ C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\pom.xml.
2016-02-01 17:49:19,604 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fabricaweb/src/main/java
2016-02-01 17:49:19,608 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fabricaweb/src/test/java
2016-02-01 17:49:19,886 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 8 sec
2016-02-01 17:49:21,869 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 17:49:21,881 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\main\resources
2016-02-01 17:49:21,887 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 17:49:21,898 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\test\resources
2016-02-01 17:49:50,924 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 17:49:50,934 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\main\resources
2016-02-01 17:49:50,938 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 17:49:50,949 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\test\resources
2016-02-01 17:50:46,433 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.pl.fabricadeprogramador:fabricaweb:1 @ C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\pom.xml.
2016-02-01 17:50:47,100 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 17:50:47,114 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\main\resources
2016-02-01 17:50:47,120 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 17:50:47,143 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\test\resources
2016-02-01 18:12:48,023 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.pl.fabricadeprogramador:fabricaweb:1 @ C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\pom.xml.
2016-02-01 18:12:50,933 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:12:50,948 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\main\resources
2016-02-01 18:12:50,962 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:12:50,979 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\test\resources
2016-02-01 18:12:51,024 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of fabricaweb
2016-02-01 18:12:51,026 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for fabricaweb
2016-02-01 18:12:51,097 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:12:58,770 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.pl.fabricadeprogramador:fabricaweb:1 @ C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\pom.xml.
2016-02-01 18:13:01,149 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:13:01,159 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\main\resources
2016-02-01 18:13:01,166 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:13:01,176 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\test\resources
2016-02-01 18:13:01,176 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of fabricaweb
2016-02-01 18:13:01,176 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for fabricaweb
